ID,Region,County,Sub County,UIC,KNEC,School Name,Cluster,Type,Disability Type,Accommodation,Gender
1,RIFT VALLEY,BARINGO,BARINGO CENTRAL,7J98,33517209,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
2,RIFT VALLEY,BARINGO,BARINGO CENTRAL,GMUY,33517103,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
11,RIFT VALLEY,BARINGO,BARINGO CENTRAL,TM99,33517207,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
14,RIFT VALLEY,BARINGO,BARINGO CENTRAL,8WY3,33517202,KAPROPITA  GIRLS  HIGH SCHOOL,C1,PUBLIC,NONE,BOARDING,GIRLS
27,RIFT VALLEY,BARINGO,BARINGO CENTRAL,GSC2,33517203,KITURO HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,MIXED
28,RIFT VALLEY,BARINGO,BARINGO CENTRAL,K6P9,33517206,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
31,RIFT VALLEY,BARINGO,BARINGO CENTRAL,3PYX,33517205,PEMWAI GIRLS' SECONDARY SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
33,RIFT VALLEY,BARINGO,BARINGO CENTRAL,FMQL,33517106,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
38,RIFT VALLEY,BARINGO,BARINGO CENTRAL,RWU6,33517104,TABAGON GIRLS' SECONDARY SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
39,RIFT VALLEY,BARINGO,BARINGO CENTRAL,CLM9,33517204,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
45,RIFT VALLEY,BARINGO,BARINGO NORTH,VQG4,33547205,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
51,RIFT VALLEY,BARINGO,BARINGO NORTH,7DJ9,33547105,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
54,RIFT VALLEY,BARINGO,BARINGO NORTH,5UF9,33547404,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
55,RIFT VALLEY,BARINGO,BARINGO NORTH,STST,33547102,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
57,RIFT VALLEY,BARINGO,BARINGO NORTH,WJCP,33547406,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
61,RIFT VALLEY,BARINGO,BARINGO NORTH,2ZKJ,33547110,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
69,RIFT VALLEY,BARINGO,BARINGO NORTH,2V5E,33500019,OSSEN SECONDARY SCHOOL,C1,PUBLIC,NONE,BOARDING,GIRLS
70,RIFT VALLEY,BARINGO,BARINGO NORTH,G4AY,33547203,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
71,RIFT VALLEY,BARINGO,BARINGO NORTH,9M8T,33547202,RUTH KIPTUI GIRLS HIGH SCHOOL-KASOK,C2,PUBLIC,NONE,BOARDING,GIRLS
73,RIFT VALLEY,BARINGO,BARINGO NORTH,AALA,33547107,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
92,RIFT VALLEY,BARINGO,KOIBATEK,PYUM,33521104,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
96,RIFT VALLEY,BARINGO,KOIBATEK,U3K5,33521101,MERCY GIRLS HIGH SCHOOL - ELDAMA RAVINE,C2,PUBLIC,NONE,BOARDING,GIRLS
98,RIFT VALLEY,BARINGO,KOIBATEK,T5Q4,33521203,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
102,RIFT VALLEY,BARINGO,KOIBATEK,K9H6,33521107,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
108,RIFT VALLEY,BARINGO,KOIBATEK,93KE,33521105,SOLIAN GIRLS HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
113,RIFT VALLEY,BARINGO,KOIBATEK,WGF5,33521202,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
117,RIFT VALLEY,BARINGO,KOIBATEK,XXE8,33521109,TONIOK GIRLS SECONDARY SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
118,RIFT VALLEY,BARINGO,KOIBATEK,CKE5,33521201,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
121,RIFT VALLEY,BARINGO,KOIBATEK,RDX7,33521123,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
131,RIFT VALLEY,BARINGO,MARIGAT,JSL3,33558103,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
133,RIFT VALLEY,BARINGO,MARIGAT,5CH5,33558104,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
139,RIFT VALLEY,BARINGO,MARIGAT,T6UE,33558201,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
141,RIFT VALLEY,BARINGO,MARIGAT,AJ9B,33558102,UASINGISHU,C3,PUBLIC,NONE,BOARDING,GIRLS
160,RIFT VALLEY,BARINGO,MOGOTIO,F3VU,33562303,KIMNGOROM GIRLS HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
164,RIFT VALLEY,BARINGO,MOGOTIO,GF4M,33562108,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
169,RIFT VALLEY,BARINGO,MOGOTIO,FKBK,33562103,UASINGISHU,C3,PUBLIC,NONE,BOARDING,MIXED
